own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
230659000;305170000;7.8823771368;5.172578125;9506.2271738056;9506.2271738056;1004.3612945549;3;
305170000;230659000;5.172578125;7.8823771368;9506.2271738056;9506.2271738056;1004.3612945549;3;
230659000;305170000;7.8823771368;5.172578125;9506.2271738056;9506.2271738056;1004.3612945549;3;
305170000;230659000;5.172578125;7.8823771368;9506.2271738056;9506.2271738056;1004.3612945549;3;
245220000;311996000;3.1891536458;9.65065625;11885.3218942526;11885.3218942526;1004.5477838311;3;
311996000;245220000;9.65065625;3.1891536458;11885.3218942526;11885.3218942526;1004.5477838311;3;
245220000;311996000;3.1891536458;9.65065625;11885.3218942526;11885.3218942526;1004.5477838311;3;
311996000;245220000;9.65065625;3.1891536458;11885.3218942526;11885.3218942526;1004.5477838311;3;
259319000;219743000;6.5945347222;1.296359809;8592.0728983174;8592.0728983174;1004.5933903824;-1;
210167000;220038000;8.8958697917;1.6099498698;3224.4659867953;3224.4659867953;1004.6985717119;-2;
257115000;219001859;4.2814868552;2.5863209601;4422.0126910718;4422.0126910718;1005.2616176897;-2;
220256000;219015362;3.7717074343;2.8441930959;2330.8200273723;2330.8200273723;1005.5826271371;-2;
220574000;219057000;17.4503842593;5.0434311343;4909.9138770451;6684.7226008265;1005.6301954496;-2;72
257867420;258194160;2.0182051282;3.4193242521;4689.5677178179;4689.5677178179;1005.8958445088;-1;
257867420;258194160;2.0182051282;3.4193242521;4689.5677178179;4689.5677178179;1005.8958445088;-1;
259086000;314318000;4.0242327353;3.5488628472;6802.4086858994;6802.4086858994;1006.0482890995;3;
314318000;259086000;3.5488628472;4.0242327353;6802.4086858994;6802.4086858994;1006.0482890995;3;
259086000;314318000;4.0242327353;3.5488628472;6802.4086858994;6802.4086858994;1006.0482890995;3;
314318000;259086000;3.5488628472;4.0242327353;6802.4086858994;6802.4086858994;1006.0482890995;3;
220464000;304242000;10.3145106337;5.1024951172;3626.0294607187;3626.0294607187;1006.49062092;-2;
219001682;219010828;3.37838614;3.489916088;6487.7537838608;6487.7537838608;1006.9167045988;3;
219010828;219001682;3.489916088;3.37838614;6487.7537838608;6487.7537838608;1006.9167045988;3;
219001682;219010828;3.37838614;3.489916088;6487.7537838608;6487.7537838608;1006.9167045988;3;
219010828;219001682;3.489916088;3.37838614;6487.7537838608;6487.7537838608;1006.9167045988;3;
255801560;265785000;5.6092530382;3.7579563802;9647.9552574626;9647.9552574626;1007.1741160296;-1;
255801560;265785000;5.6092530382;3.7579563802;9647.9552574626;9647.9552574626;1007.1741160296;-1;
219001682;219010828;3.0713438585;3.4881744792;8940.8207593039;7315.0192815877;1007.1942662665;3;0
219001682;219010828;3.0713438585;3.4881744792;8940.8207593039;7315.0192815877;1007.1942662665;3;0
